;Company;Symbol;ISIN;WKN
716;BOOST ISSUER ETP Z 2062;3E3M;DE000A2BGQ21;000A2BGQ2
717;BOOST ISSUER ETP Z 2062;3E3S;DE000A2BGQ39;000A2BGQ3
718;AGRARIUS AG   INH. O.N.;AU2;DE000A2BPL90;000A2BPL9
719;CONSUS R.ESTATE AG  NA ON;CC1;DE000A2DA414;000A2DA41
720;MAX AUTOMATION SE NA O.N.;MXHN;DE000A2DA588;000A2DA58
721;DT.CANNABIS AG  JGE O.N.;FAM2;DE000A2DA6T5;000A2DA6T
722;AUMANN AG;AAG;DE000A2DAM03;000A2DAM0
723;SOFTLINE AG  O.N.;SFD1;DE000A2DAN10;000A2DAN1
724;FRESENIUS SE+CO.KGAA NEUE;FREB;DE000A2DANS3;000A2DANS
725;WISDOMTR.INDIA QUAL. DLDZ;WTDZ;DE000A2DJWH8;000A2DJWH
726;WISDOMTR.INDIA QUAL.DLADZ;WTD0;DE000A2DJWJ4;000A2DJWJ
727;FIR.T.G-US LC C.A.D.U. DZ;FTGU;DE000A2DLXT7;000A2DLXT
728;SOURCE-S.BL.CO.EX-A.ADLDZ;XAAG;DE000A2DPAL3;000A2DPAL
729;SOURCE M.-S.M.EU.EX-U.ADZ;MXUK;DE000A2DPCP0;000A2DPCP
730;ETFS ALL COMM.GO U.ETF DZ;ETLF;DE000A2DQ7P3;000A2DQ7P
731;ETFS L.D.A.C.EX-A.+L.G.DZ;ETLE;DE000A2DQ7Q1;000A2DQ7Q
732;ASKNET AG  NA O.N.;A5AB;DE000A2E3707;000A2E370
733;SLEEPZ AG  INH. O.N.;BTBB;DE000A2E3772;000A2E377
734;DELIVERY HERO AG NA O.N.;DHER;DE000A2E4K43;000A2E4K4
735;GXP GERM.PROP.AG INH.O.N.;GXP1;DE000A2E4L00;000A2E4L0
736;PYROLYX AG   NA O.N.;S26A;DE000A2E4L42;000A2E4L4
737;LINDE AG O.N. Z.UMT.;LINU;DE000A2E4L75;000A2E4L7
738;VOLTABOX AG  INH. O.N.;VBX;DE000A2E4LE9;000A2E4LE
739;NORATIS AG  INH. O.N.;NUVA;DE000A2E4MK4;000A2E4MK
740;H+R KGAA  INH. O.N.;2HRA;DE000A2E4T77;000A2E4T7
741;BOOST ISSUER ETP 2062;XMWH;DE000A2F4V47;000A2F4V4
742;DEUTSCHE WOHNEN SE NEUE;DWNN;DE000A2G8183;000A2G818
743;DEUTSCHE POST AG NEUE NA;DPWN;DE000A2G82W5;000A2G82W
744;BRENNTAG AG NA O.N. NEUE;BNRN;DE000A2G82Z8;000A2G82Z
745;TAG IMMOBILIEN AG NEUE;TEGN;DE000A2G83A9;000A2G83A
746;ENCAVIS AG  NEUE;CAPN;DE000A2G83C5;000A2G83C
747;MTU AERO ENGINES NEUE NA;MTXN;DE000A2G83P7;000A2G83P
748;PNE WIND AG NA O.N. NEUE;PNEN;DE000A2G8X15;000A2G8X1
749;ALLIANZ SE NA O.N. NEUE;ALVN;DE000A2G8XR5;000A2G8XR
750;BAUMOT GROUP AG  KONV.;TINC;DE000A2G8Y89;000A2G8Y8
751;SGL CARBON SE O.N. NEUE;SGLE;DE000A2G8YM4;000A2G8YM
752;WALLSTREET:ONLINE INH JGE;WSOJ;DE000A2G8Z70;000A2G8Z7
753;FRESEN.MED.CARE  NEUE;FMEN;DE000A2G9L83;000A2G9L8
754;DT.IND.REIT-AG INH O.N.;JB7;DE000A2G9LL1;000A2G9LL
755;STEMMER IMAGING AG INH ON;S9I;DE000A2G9MZ9;000A2G9MZ
756;SOFTWARE AG  NA O.N.;SOW;DE000A2GS401;000A2GS40
757;DERMAPHARM HLDG INH O.N.;DMP;DE000A2GS5D8;000A2GS5D
758;WALLSTREET:ONLINE INH ON;WSO1;DE000A2GS609;000A2GS60
759;CR CAP.REAL EST.AG O.N.;CRZK;DE000A2GS625;000A2GS62
760;ALLGEIER SE  NA O.N.;AEIN;DE000A2GS633;000A2GS63
761;VARENGOLD BANK AG JGE ON;VG82;DE000A2GSUS3;000A2GSUS
762;GROUNDS R.EST. NA O.N.;AMMN;DE000A2GSVV5;000A2GSVV
763;ETFS BA.VALUE-CHAIN GO DZ;BATE;DE000A2H9VG9;000A2H9VG
764;ETFS ECOMMERCE LOGISTI.DZ;ETLH;DE000A2H9VH7;000A2H9VH
765;ETFS PHARMA BREAKTROUGH;ETLI;DE000A2H9VJ3;000A2H9VJ
766;BIOFRONTERA AG JGE;B8FJ;DE000A2LQ1W2;000A2LQ1W
767;AIXTRON SE NA O.N. NEUE;AIXC;DE000A2LQHL9;000A2LQHL
768;SLM SOLUTIONS GRP AG NEUE;AM3N;DE000A2LQHN5;000A2LQHN
769;BASF SE NA O.N.;BAS;DE000BASF111;000BASF11
770;BAYER AG NA O.N.;BAYN;DE000BAY0017;000BAY001
771;BAYER AG NA O.N. NEUE;BAY1;DE000BAY0181;000BAY018
772;METRO AG   ST O.N.;B4B;DE000BFB0019;000BFB001
773;METRO AG   VZO O.N.;B4B3;DE000BFB0027;000BFB002
774;COMMERZBANK AG;CBK;DE000CBK1001;000CBK100
775;E.ON SE NA O.N.;EOAN;DE000ENAG999;000ENAG99
776;COMMERZBANK ETC UNL.;X0D9;DE000ETC0431;000ETC043
777;COMMERZBANK ETC UNL.;X0DA;DE000ETC0449;000ETC044
778;COMMERZBANK ETC UNL.;X0DB;DE000ETC0456;000ETC045
779;COMMERZBANK ETC UNL.;X0DC;DE000ETC0464;000ETC046
780;COMMERZBANK ETC UNL.;X0DD;DE000ETC0472;000ETC047
781;COMMERZBANK ETC UNL.;X0DE;DE000ETC0480;000ETC048
782;COMMERZBANK ETC UNL.;X0DF;DE000ETC0498;000ETC049
783;COMMERZBANK ETC UNL.;X0DG;DE000ETC0506;000ETC050
784;COMMERZBANK ETC UNL.;X0B9;DE000ETC0597;000ETC059
785;COMMERZBANK ETC UNL.;X0BA;DE000ETC0605;000ETC060
786;COMMERZBANK ETC UNL.;X0BB;DE000ETC0613;000ETC061
787;COMMERZBANK ETC UNL.;X0BC;DE000ETC0621;000ETC062
788;COMMERZBANK ETC UNL.;X0BD;DE000ETC0639;000ETC063
789;COMMERZBANK ETC UNL.;X0BE;DE000ETC0647;000ETC064
790;COMMERZBANK ETC UNL.;X0BF;DE000ETC0654;000ETC065
791;COMMERZBANK ETC UNL.;X0BG;DE000ETC0662;000ETC066
792;CS VERMOEG.STRATE.U.ETF I;F701;DE000ETF7011;000ETF701
793;COMST.VERM.STR.-D.U.ETF I;F702;DE000ETF7029;000ETF702
794;COMST.VERM.STR.-O.U.ETF I;F703;DE000ETF7037;000ETF703
795;COMST.ALP.DIV.PL.UC.ETF R;F750;DE000ETF7508;000ETF750
796;COMST.AL.DE DIV.PL.UC.ETF;F751;DE000ETF7516;000ETF751
797;COMSTAGE 1-SDAX UCI.ETF I;E905;DE000ETF9058;000ETF905
798;COMSTAGE 1-MDAX UCI.ETF I;E907;DE000ETF9074;000ETF907
799;COMSTAGE 1-TECDAX U.ETF I;E908;DE000ETF9082;000ETF908
800;COMSTAGE 1-ST.E.600 U.E.I;E960;DE000ETF9603;000ETF960
801;DK STOXX EUR.STR.GROW.20;EL4C;DE000ETFL037;000ETFL03
802;DK STOXX EUR.STR.VALUE 20;EL4D;DE000ETFL045;000ETFL04
803;DK STOXX EUR.STR.STY.C.40;EL4E;DE000ETFL052;000ETFL05
804;DK MSCI EUROPE LC;EL4H;DE000ETFL086;000ETFL08
805;DK MSCI USA LC;EL4I;DE000ETFL094;000ETFL09
806;DK MSCI JAPAN LC;EL4J;DE000ETFL102;000ETFL10
807;DK IB EO LIQ.SOV.DIV.1-10;EL4K;DE000ETFL110;000ETFL11
808;DK IB EO LIQ.SOV.DIV.1-3;EL4L;DE000ETFL128;000ETFL12
809;DK IB EO LIQ.SOV.DIV.3-5;EL4M;DE000ETFL136;000ETFL13
810;DK IB EO LIQ.SOV.DIV.5-7;EL4N;DE000ETFL144;000ETFL14
811;DK IB EO LIQ.SOV.DIV.7-10;EL4P;DE000ETFL151;000ETFL15
812;DK IB EO LIQ.SOV.DIV.10+;EL4Q;DE000ETFL169;000ETFL16
813;DK DB EUROG.GERMANY;EL4R;DE000ETFL177;000ETFL17
814;DK DB EUROG.GERMANY 1-3;EL4S;DE000ETFL185;000ETFL18
815;DK DB EUROG.GERMANY 3-5;EL4T;DE000ETFL193;000ETFL19
816;DK DB EUROG.GERMANY 5-10;EL4U;DE000ETFL201;000ETFL20
817;DK DB EUROG.GERMANY 10+;EL4V;DE000ETFL219;000ETFL21
818;DK DB EUROG.GER.MONEYM.;EL4W;DE000ETFL227;000ETFL22
819;DK STOXX EUROPE 50;EL4Y;DE000ETFL250;000ETFL25
820;DK MSCI USA;EL4Z;DE000ETFL268;000ETFL26
821;DK MSCI USA MC;EL41;DE000ETFL276;000ETFL27
822;DK MSCI EUROPE;EL42;DE000ETFL284;000ETFL28
823;DK MSCI EUROPE MC;EL43;DE000ETFL292;000ETFL29
824;DK MSCI JAPAN;EL44;DE000ETFL300;000ETFL30
825;DK MSCI JAPAN MC;EL45;DE000ETFL318;000ETFL31
826;DK MSCI CHINA;EL46;DE000ETFL326;000ETFL32
827;DK MSCI EMERGING MARKETS;EL40;DE000ETFL342;000ETFL34
828;DK IBOXX EO L.GE.COV.DIV.;EL48;DE000ETFL359;000ETFL35
829;DK IBOXX EO LIQ.CORP.DIV.;EL49;DE000ETFL375;000ETFL37
830;DK IBOXX EO L.NON-FI.DIV.;EFQ8;DE000ETFL383;000ETFL38
831;DK DB EUROGOV FRANCE;EFQ2;DE000ETFL425;000ETFL42
832;DEKA MDAX;ELF1;DE000ETFL441;000ETFL44
833;DEKA MSCI EUR.EX EMU U.E.;ELF5;DE000ETFL458;000ETFL45
834;DEKA OEKOM EO NACHH.U.ETF;ELFB;DE000ETFL474;000ETFL47
835;DEKA EUROZ.R.P.1-10 U.ETF;ELFD;DE000ETFL490;000ETFL49
836;COMMERZBANK ETN UNL.;X00A;DE000ETN0016;000ETN001
837;COMMERZBANK ETN UNL.;X00B;DE000ETN0024;000ETN002
838;COMMERZBANK ETN UNL.;X00C;DE000ETN0032;000ETN003
839;COMMERZBANK ETN UNL.;X00D;DE000ETN0040;000ETN004
840;COMMERZBANK ETN UNL.;X00E;DE000ETN0057;000ETN005
841;COMMERZBANK ETN UNL.;X00F;DE000ETN0065;000ETN006
842;COMMERZBANK ETN UNL.;X00G;DE000ETN0073;000ETN007
843;COMMERZBANK ETN UNL.;X00H;DE000ETN0081;000ETN008
844;COMMERZBANK ETN UNL.;X00I;DE000ETN0099;000ETN009
845;COMMERZBANK ETN UNL.;X00J;DE000ETN0107;000ETN010
846;COMMERZBANK ETN UNL.;X00K;DE000ETN0115;000ETN011
847;COMMERZBANK ETN UNL.;X00L;DE000ETN0123;000ETN012
848;COMMERZBANK ETN UNL.;X00M;DE000ETN0131;000ETN013
849;COMMERZBANK ETN UNL.;X00N;DE000ETN0149;000ETN014
850;COMMERZBANK ETN UNL.;X00P;DE000ETN0156;000ETN015
851;COMMERZBANK ETN UNL.;X00Q;DE000ETN0164;000ETN016
852;COMMERZBANK ETN UNL.;X00R;DE000ETN0172;000ETN017
853;COMMERZBANK ETN UNL.;X00S;DE000ETN0180;000ETN018
854;COMMERZBANK ETN UNL.;X00T;DE000ETN0198;000ETN019
855;COMMERZBANK ETN UNL.;X00U;DE000ETN0206;000ETN020
856;COMMERZBANK ETN UNL.;X00V;DE000ETN0214;000ETN021
857;COMMERZBANK ETN UNL.;X00W;DE000ETN0222;000ETN022
858;COMMERZBANK ETN UNL.;X00Y;DE000ETN0230;000ETN023
859;COMMERZBANK ETN UNL.;X00Z;DE000ETN0248;000ETN024
860;COMMERZBANK ETN UNL.;X04A;DE000ETN0255;000ETN025
861;COMMERZBANK ETN UNL.;X04B;DE000ETN0263;000ETN026
862;COMMERZBANK ETN UNL.;X0CE;DE000ETN0271;000ETN027
863;COMMERZBANK ETN UNL.;X0CF;DE000ETN0289;000ETN028
864;COMMERZBANK ETN UNL.;X04C;DE000ETN0297;000ETN029
865;COMMERZBANK ETN UNL.;X04D;DE000ETN0305;000ETN030
866;COMMERZBANK ETN UNL.;X0CG;DE000ETN0313;000ETN031
867;COMMERZBANK ETN UNL.;X0CH;DE000ETN0321;000ETN032
868;COMMERZBANK ETN UNL.;X04E;DE000ETN0339;000ETN033
869;COMMERZBANK ETN UNL.;X04F;DE000ETN0347;000ETN034
870;COMMERZBANK ETN UNL.;X0DH;DE000ETN0354;000ETN035
871;COMMERZBANK ETN UNL.;X0DI;DE000ETN0362;000ETN036
872;COMMERZBANK ETN UNL.;X04G;DE000ETN0370;000ETN037
873;COMMERZBANK ETN UNL.;X04H;DE000ETN0388;000ETN038
874;COMMERZBANK ETN UNL.;X0DJ;DE000ETN0396;000ETN039
875;COMMERZBANK ETN UNL.;X0DK;DE000ETN0404;000ETN040
876;COMMERZBANK ETN UNL.;X04I;DE000ETN0412;000ETN041
877;COMMERZBANK ETN UNL.;X04J;DE000ETN0420;000ETN042
878;COMMERZBANK ETN UNL.;X0DL;DE000ETN0438;000ETN043
879;COMMERZBANK ETN UNL.;X0DM;DE000ETN0446;000ETN044
880;COMMERZBANK ETN UNL.;X04K;DE000ETN0453;000ETN045
881;COMMERZBANK ETN UNL.;X04L;DE000ETN0461;000ETN046
882;COMMERZBANK ETN UNL.;X0DN;DE000ETN0479;000ETN047
883;COMMERZBANK ETN UNL.;X0DP;DE000ETN0487;000ETN048
884;COMMERZBANK ETN UNL.;X04M;DE000ETN0495;000ETN049
885;COMMERZBANK ETN UNL.;X04N;DE000ETN0503;000ETN050
886;COMMERZBANK ETN UNL.;X0DQ;DE000ETN0511;000ETN051
887;COMMERZBANK ETN UNL.;X0DR;DE000ETN0529;000ETN052
888;COMMERZBANK ETN UNL.;X04P;DE000ETN0537;000ETN053
889;COMMERZBANK ETN UNL.;X04Q;DE000ETN0545;000ETN054
890;COMMERZBANK ETN UNL.;X0DS;DE000ETN0552;000ETN055
891;COMMERZBANK ETN UNL.;X04V;DE000ETN0735;000ETN073
892;COMMERZBANK ETN UNL.;X04W;DE000ETN0743;000ETN074
893;COMMERZBANK ETN UNL.;X0DY;DE000ETN0750;000ETN075
894;COMMERZBANK ETN UNL.;X0DZ;DE000ETN0768;000ETN076
895;COMMERZBANK ETN UNL.;X04X;DE000ETN0776;000ETN077
896;COMMERZBANK ETN UNL.;X04Y;DE000ETN0784;000ETN078
897;COMMERZBANK ETN UNL.;X0CA;DE000ETN0818;000ETN081
898;COMMERZBANK ETN UNL.;X0CB;DE000ETN0826;000ETN082
899;COMMERZBANK ETN UNL.;X000;DE000ETN0834;000ETN083
900;COMMERZBANK ETN UNL.;X040;DE000ETN0842;000ETN084
901;COMMERZBANK ETN UNL.;X0CC;DE000ETN0859;000ETN085
902;COMMERZBANK ETN UNL.;X0CD;DE000ETN0867;000ETN086
903;COMMERZBANK ETN UNL.;X0C0;DE000ETN0875;000ETN087
904;COMMERZBANK ETN UNL.;X0D0;DE000ETN0883;000ETN088
905;COMMERZBANK ETN UNL.;X0CR;DE000ETN0AA6;000ETN0AA
906;COMMERZBANK ETN UNL.;X0CS;DE000ETN0AB4;000ETN0AB
907;COMMERZBANK ETN UNL.;X0CT;DE000ETN0AC2;000ETN0AC
908;COMMERZBANK ETN UNL.;X0CU;DE000ETN0AD0;000ETN0AD
909;COMMERZBANK ETN UNL.;X0CV;DE000ETN0AE8;000ETN0AE
910;COMMERZBANK ETN UNL.;X0CW;DE000ETN0AF5;000ETN0AF
911;COMMERZBANK ETN UNL.;X0CX;DE000ETN0AG3;000ETN0AG
912;COMMERZBANK ETN UNL.;X0CY;DE000ETN0AH1;000ETN0AH
913;COMMERZBANK ETN UNL.;X0CZ;DE000ETN0AJ7;000ETN0AJ
914;COMMERZBANK ETN UNL.;X009;DE000ETN0AK5;000ETN0AK
915;COMMERZBANK ETN UNL.;X049;DE000ETN0AL3;000ETN0AL
916;COMMERZBANK ETN UNL.;X0C9;DE000ETN0AM1;000ETN0AM
917;EVONIK INDUSTRIES NA O.N.;EVK;DE000EVNK013;000EVNK01
918;FRANCOTYP-POSTALIA HLDG;FPH;DE000FPH9000;000FPH900
919;FINTECH GROUP AG  NA O.N.;FTK;DE000FTG1111;000FTG111
920;HAPAG-LLOYD AG NA O.N.;HLAG;DE000HLAG475;000HLAG47
921;JOST WERKE AG INH.   O.N.;JST;DE000JST4000;000JST400
922;KLOECKNER + CO SE NA O.N.;KCO;DE000KC01000;000KC0100
923;KION GROUP AG;KGX;DE000KGX8881;000KGX888
924;K+S AG NA O.N.;SDF;DE000KSAG888;000KSAG88
925;OSRAM LICHT AG NA O.N.;OSR;DE000LED4000;000LED400
926;LEG IMMOBILIEN AG NA O.N.;LEG;DE000LEG1110;000LEG111
927;LEG IMMOBILIEN NEUE NA ON;LEGN;DE000LEG1185;000LEG118
928;LOTTO24 AG NA O.N.;LO24;DE000LTT0243;000LTT024
929;PORSCHE AUTOM.HLDG VZO;PAH3;DE000PAH0038;000PAH003
930;PATRIZIA IMMOBILIEN NA ON;P1Z;DE000PAT1AG3;000PAT1AG
931;BNP PAR.ISS. O.E. ETC;B4NP;DE000PB6ALU1;000PB6ALU
932;BNP PAR.ISS. O.E. ETC;B4NS;DE000PB7Z1N5;000PB7Z1N
933;BNP PAR.ISS. O.E. ETC;B4NQ;DE000PB8C0P8;000PB8C0P
934;BNP PAR.ISS. O.E. ETC;B4NU;DE000PB8LED5;000PB8LED
935;BNP PAR.ISS. O.E. ETC;B4NR;DE000PB8N1C1;000PB8N1C
936;BNP PAR.ISS. O.E. ETC;BNQN;DE000PB8R1A1;000PB8R1A
937;BNP PAR.ISS. O.E. ETC;BNQP;DE000PB8R1C7;000PB8R1C
938;BNP PAR.ISS. O.E. ETC;BNQT;DE000PB8R1L8;000PB8R1L
939;BNP PAR.ISS. O.E. ETC;BNQV;DE000PB8R1M6;000PB8R1M
940;BNP PAR.ISS. O.E. ETC;BNQQ;DE000PB8R1N4;000PB8R1N
941;BNP PAR.ISS. O.E. ETC;BNQS;DE000PB8R1T1;000PB8R1T
942;BNP PAR.ISS. O.E. ETC;BNQR;DE000PB8R1Z8;000PB8R1Z
943;BNP PAR.ISS. O.E. ETC;B4N5;DE000PB8REC4;000PB8REC
944;BNP PAR.ISS. O.E. ETC;B4N9;DE000PB8REL5;000PB8REL
945;BNP PAR.ISS. O.E. ETC;BNQ5;DE000PB8REM3;000PB8REM
946;BNP PAR.ISS. O.E. ETC;B4N6;DE000PB8REN1;000PB8REN
947;BNP PAR.ISS. O.E. ETC;B4N8;DE000PB8RET8;000PB8RET
948;BNP PAR.ISS. O.E. ETC;B4N7;DE000PB8REZ5;000PB8REZ
949;BNP PAR.ISS. O.E. ETC;B4NT;DE000PB8T1N2;000PB8T1N
950;BNP PAR.ISS. O.E. ETC;BNQW;DE000PR0R1M0;000PR0R1M
951;BNP PAR.ISS. O.E. ETC;B4NA;DE000PR5RAU2;000PR5RAU
952;BNP PAR.ISS. O.E. ETC;B4NB;DE000PR5RCU8;000PR5RCU
953;BNP PAR.ISS. O.E. ETC;B4N4;DE000PR5REA6;000PR5REA
954;BNP PAR.ISS. O.E. ETC;B4NF;DE000PR5RLU9;000PR5RLU
955;BNP PAR.ISS. O.E. ETC;BNQ6;DE000PR5RME1;000PR5RME
956;BNP PAR.ISS. O.E. ETC;B4NM;DE000PR5RMU7;000PR5RMU
957;BNP PAR.ISS. O.E. ETC;B4NC;DE000PR5RNU5;000PR5RNU
958;BNP PAR.ISS. O.E. ETC;B4NE;DE000PR5RTU2;000PR5RTU
959;BNP PAR.ISS. O.E. ETC;B4NN;DE000PR5RUM7;000PR5RUM
960;BNP PAR.ISS. O.E. ETC;B4ND;DE000PR5RZU9;000PR5RZU
961;PROSIEBENSAT.1  NA O.N.;PSM;DE000PSM7770;000PSM777
962;SCHAEFFLER AG INH. VZO;SHA;DE000SHA0159;000SHA015
963;SIEMENS HEALTH.AG NA O.N.;SHL;DE000SHL1006;000SHL100
964;SKW STAHL-MET.HLDG. NA ON;SK1A;DE000SKWM021;000SKWM02
965;STRATEC BIOMEDICAL  NA ON;SBS;DE000STRA555;000STRA55
966;SYMRISE AG INH. O.N.;SY1;DE000SYM9999;000SYM999
967;TELE COLUMBUS AG NA O.N.;TC1;DE000TCAG172;000TCAG17
968;TALANX AG NA O.N.;TLX;DE000TLX1005;000TLX100
969;TUI AG NA O.N.;TUI1;DE000TUAG000;000TUAG00
970;UNIPER SE  NA O.N.;UN01;DE000UNSE018;000UNSE01
971;UNIPER SE  NA O.N. BAR;UN02;DE000UNSE1V6;000UNSE1V
972;VTG AG O.N.;VT9;DE000VTG9999;000VTG999
973;WACKER NEUSON SE NA O.N.;WAC;DE000WACK012;000WACK01
974;SILTRONIC AG NA O.N.;WAF;DE000WAF3001;000WAF300
975;WACKER CHEMIE        O.N.;WCH;DE000WCH8881;000WCH888
976;WINDELN.DE SE O.N.;WDL;DE000WNDL110;000WNDL11
977;WINDELN.DE SE O.N.  JGE;WDLJ;DE000WNDL1J7;000WNDL1J
978;XING SE  NA O.N.;O1BC;DE000XNG8888;000XNG888
979;ZALANDO SE;ZAL;DE000ZAL1111;000ZAL111
980;ZHONGDE WASTE TECHNOLOGY;ZEF;DE000ZDWT018;000ZDWT01
981;VESTAS WIND SYST. NAM.DK1;VWS;DK0010268606;913769
982;PANDORA A/S         DK 1;3P7;DK0060252690;000A1C6JV
983;COLOPLAST NAM. B    DK 1;CBHD;DK0060448595;000A1KAGC
984;NOVO-NORDISK NAM.B DK-,20;NOVC;DK0060534915;000A1XA8R
985;ETFS COM.SEC.DZ06/UN.WTI;OD7F;DE000A0KRJX4;000A0KRJX
986;ETFS COM.SEC.DZ06/UN.UGAS;OD7G;DE000A0KRJY2;000A0KRJY
987;ETFS COM.SEC.DZ06/UN.HEAT;OD7I;DE000A0KRJ02;000A0KRJ0
988;ETFS COM.SEC.DZ06/UN.NGAS;OD7L;DE000A0KRJ36;000A0KRJ3
989;ETFS COM.SEC.DZ06/UN.IDX;OD7W;DE000A0KRKD4;000A0KRKD
990;ETFS COM.SEC.DZ06/UN.IDX;OD72;DE000A0KRKJ1;000A0KRKJ
991;ETFS OIL SEC DZ06/UN.OILB;OESA;DE000A0KRKM5;000A0KRKM
992;ETFS OIL SEC DZ06/UN.OILW;OESB;DE000A0KRKN3;000A0KRKN
993;ETFS COM.SEC.DZ07/UN.IDX;9GAG;DE000A0SVX42;000A0SVX4
994;ETFS COM.SEC.DZ07/UN.IDX;9GAH;DE000A0SVX59;000A0SVX5
995;ETFS COM.SEC.DZ07/UN.IDX;9GAQ;DE000A0SVYC2;000A0SVYC
996;ETFS COM.SEC.DZ08/UN.IDX;9GA7;DE000A0V9XY2;000A0V9XY
997;ETFS COM.SEC.DZ08/UN.IDX;4RTD;DE000A0V9X41;000A0V9X4
998;ETFS COM.SEC.DZ08/UN.IDX;4RT7;DE000A0V9YY0;000A0V9YY
999;XTR BRENT OPT Y EUR H 60;XETC;DE000A1AQGX1;000A1AQGX
1000;XTR ENERGY OPT Y EUR H60;XCTH;DE000A1ED2J2;000A1ED2J
1001;XTR BRENT OPT YIELD E 61;XCTL;DE000A1KYN55;000A1KYN5
1002;ETFS H.COM.SEC.Z12/UN.IDX;00XM;DE000A1NZLM8;000A1NZLM
1003;ETFS H.COM.SEC.Z12/UN.IDX;00XP;DE000A1NZLP1;000A1NZLP
1004;ETFS H.COM.SEC.Z12/UN.IDX;00XT;DE000A1N3G19;000A1N3G1
1005;ETFS COM.SEC.Z12/UN.INDEX;OOEA;DE000A1N49P6;000A1N49P
1006;ETFS COM.SEC.Z12/UN.IDX;OOEB;DE000A1N49Q4;000A1N49Q
1007;ETFS H.COM.SEC.Z12/UN.IDX;EHEN;DE000A1Y7Y36;000A1Y7Y3
1008;BOOST ISSUER ETP 2062;O1LL;DE000A133ZT6;000A133ZT
1009;BOOST ISSUER ETP 2062;NGXL;DE000A133ZU4;000A133ZU
1010;BOOST ISSUER ETP 2062;O1LS;DE000A133ZV2;000A133ZV
1011;BOOST ISSUER NGAS.ETP2062;NGXS;DE000A133ZW0;000A133ZW
1012;BOOST ISSUER WTI OIL ETC;0LJC;DE000A18HC25;000A18HC2
1013;BOOST ISSUER BRENTOIL;0LJD;DE000A18HC33;000A18HC3
1014;BOOST ISSUER ETP 2062;0LJF;DE000A18HC58;000A18HC5
1015;ETFS COM.SEC.DZ08/UN.IDX;4RT6;DE000A2BDEB6;000A2BDEB
1016;ETFS COM.SEC.DZ08/UN.IDX;4RUC;DE000A2BDED2;000A2BDED
1017;BOOST ISSUER ETP Z 2062;OI1S;DE000A2BGQW9;000A2BGQW
1018;BOOST ISSUER ETP Z 2062;2OIL;DE000A2BGQX7;000A2BGQX
1019;BOOST ISSUER ETP Z 2062;2OIS;DE000A2BGQY5;000A2BGQY
1020;BOOST ISSUER ETP Z 2062;3BFM;DE000A2BGQZ2;000A2BGQZ
1021;BOOST ISSUER ETP Z 2062;3BFS;DE000A2BGQ05;000A2BGQ0
1022;COMMERZBANK ETC UNL.;X0C1;DE000ETC0274;000ETC027
1023;COMMERZBANK ETC UNL.;X0C2;DE000ETC0282;000ETC028
1024;COMMERZBANK ETC UNL.;X0D1;DE000ETC0290;000ETC029
1025;COMMERZBANK ETC UNL.;X0D2;DE000ETC0308;000ETC030
1026;COMMERZBANK ETC UNL.;X0C3;DE000ETC0316;000ETC031
1027;COMMERZBANK ETC UNL.;X0C4;DE000ETC0324;000ETC032
1028;COMMERZBANK ETC UNL.;X0D3;DE000ETC0332;000ETC033
1029;COMMERZBANK ETC UNL.;X0D4;DE000ETC0340;000ETC034
1030;COMMERZBANK ETC UNL.;X0C5;DE000ETC0357;000ETC035
1031;COMMERZBANK ETC UNL.;X0C6;DE000ETC0365;000ETC036
1032;COMMERZBANK ETC UNL.;X0D5;DE000ETC0373;000ETC037
1033;COMMERZBANK ETC UNL.;X0D6;DE000ETC0381;000ETC038
1034;COMMERZBANK ETC UNL.;X0C7;DE000ETC0399;000ETC039
1035;COMMERZBANK ETC UNL.;X0C8;DE000ETC0407;000ETC040
1036;COMMERZBANK ETC UNL.;X0D7;DE000ETC0415;000ETC041
1037;COMMERZBANK ETC UNL.;X0D8;DE000ETC0423;000ETC042
1038;COMMERZBANK ETC UNL.;X0B1;DE000ETC0514;000ETC051
1039;COMMERZBANK ETC UNL.;X0B2;DE000ETC0522;000ETC052
1040;COMMERZBANK ETC UNL.;X0B3;DE000ETC0530;000ETC053
1041;COMMERZBANK ETC UNL.;X0B4;DE000ETC0548;000ETC054
1042;COMMERZBANK ETC UNL.;X0B5;DE000ETC0555;000ETC055
1043;COMMERZBANK ETC UNL.;X0B6;DE000ETC0563;000ETC056
1044;COMMERZBANK ETC UNL.;X0B7;DE000ETC0571;000ETC057
1045;COMMERZBANK ETC UNL.;X0B8;DE000ETC0589;000ETC058
1046;COMMERZBANK ETC UNL.;X0E1;DE000ETC0837;000ETC083
1047;COMMERZBANK ETC UNL.;X0E2;DE000ETC0845;000ETC084
1048;COMMERZBANK ETC UNL.;X0E5;DE000ETC0878;000ETC087
1049;COMMERZBANK ETC UNL.;X0E6;DE000ETC0886;000ETC088
1050;BNP PAR.ISS. O.E. ETC;B4N2;DE000PB6BEN9;000PB6BEN
1051;BNP PAR.ISS. O.E. ETC;B4N1;DE000PB6D1Z6;000PB6D1Z
1052;BNP PAR.ISS. O.E. ETC;BNQ9;DE000PB6GAS5;000PB6GAS
1053;BNP PAR.ISS. O.E. ETC;B4N3;DE000PB6H1T5;000PB6H1T
1054;BNP PAR.ISS. O.E. ETC;BNQX;DE000PB6REB0;000PB6REB
